Name,Adress,Number,Level,Public/Private
EBM Camp de l’arpa,C.Sant Antoni Mª Claret,934.356.053,Escola bressol i llar d'infants,Public
Lli Cascavell,"C. Perpinyà, 22-28",933.053.421,Escola bressol i llar d'infants,Public
EBM Cobi,"C. Àlaba, 37",932.219.032,Escola bressol i llar d'infants,Public
EBM Diagonal Mar,"C Josep Pla, 57",933.036.299,Escola bressol i llar d'infants,Public
EBM Dolors Canals,"C. Perú, 271",933.071.011,Escola bressol i llar d'infants,Public
EBM El Bressol del Poblenou,"C. Perú, 135",933.079.714,Escola bressol i llar d'infants,Public
EBM El Clot e la Mel,"C. Andrade, 9",934.982.143,Escola bressol i llar d'infants,Public
EBM El Gronxador,"Rbla. Prim, 215",932.783.828,Escola bressol i llar d'infants,Public
EBM El Petit Príncep,"C.Degà Bahí, 88",934.460.296,Escola bressol i llar d'infants,Public
Lli El Vuit,"Via Trajana, 24",933.052.206,Escola bressol i llar d'infants,Public
EBM El Xalet de la Paperera,"Pl. Julio González, 14",932.214.100,Escola bressol i llar d'infants,Public
EBM Esquitx,"C.Selva De Mar, 215",932.565.763,Escola bressol i llar d'infants,Public
EBM Júpiter,"C.Lope De Vega, 78",933.036.300,Escola bressol i llar d'infants,Public
EBM L’aliança,"C.Llull, 163",934.856.700,Escola bressol i llar d'infants,Public
EBM L’estació,C.Fluvià. 253,933.033.791,Escola bressol i llar d'infants,Public
EBM La Farinera,"C.Hernán Cortés, 2",932.700.693,Escola bressol i llar d'infants,Public
EBM La Mar Xica,"C.Carmen Amaya, 2",932.211.969,Escola bressol i llar d'infants,Public
EBM La Verneda de Sant Martí,"C.Josep Miret, 22",932.780.050,Escola bressol i llar d'infants,Public
EBM Margalló,"C.Concili De Trento, 249",933.133.118,Escola bressol i llar d'infants,Public
"Angels, Els","Ptge. Còrsega, 9",934.557.141,Escola bressol i llar d'infants,Private
Ass.Pere Calafell I Gibert,"Andrade, 184",933.145.120,Escola bressol i llar d'infants,Private
Blau,"Espronceda, 242-256",933.076.804,Escola bressol i llar d'infants,Private
Cascavell,"Perpinyà, S/N",933.053.421,Escola bressol i llar d'infants,Private
Disney,"Gran Via, 1178-82",933.146.269,Escola bressol i llar d'infants,Private
Donald,"Rbla. Poblenou, 54",933.098.439,Escola bressol i llar d'infants,Private
Giravolt,"Meridiana, 168-170",932.464.079,Escola bressol i llar d'infants,Private
Grimm,"Sant Quintí, 19",934.366.162,Escola bressol i llar d'infants,Private
Joan Xxiii,"Pl.Ignasi Juliol, S/N",933.134.745,Escola bressol i llar d'infants,Private
Llimoner I,"Independència, 329",934.569.844,Escola bressol i llar d'infants,Private
Mafalda Ii,"Rbla. Poblenou, 157-59",934.852.447,Escola bressol i llar d'infants,Private
Maria Reina,Llull 10-14,933.099.855,Escola bressol i llar d'infants,Private
Milton Ii,"Mallorca, 578",932.457.418,Escola bressol i llar d'infants,Private
Nyec,"Rogent, 61",934.550.110,Escola bressol i llar d'infants,Private
"Ocell De Paper, L’","Llatzaret, 30",933.078.271,Escola bressol i llar d'infants,Private
"Pau, La","Concili De Trento, 297-299",933.131.597,Escola bressol i llar d'infants,Private
Roure Clot,"Aragó, 529",932.328.809,Escola bressol i llar d'infants,Private
Sant Estanislao De Kotska,"Marina, 69",933.095.624,Escola bressol i llar d'infants,Private
Serralada II,"C/ de València, 706",932 66 00 78,Escola bressol i llar d'infants,Private
Tabatha,"Sèquia Comtal, 11",932.326.056,Escola bressol i llar d'infants,Private
Teddy,"Dos De Maig, 222",932.457.271,Escola bressol i llar d'infants,Private
Ter Vint,"Ter, 20",932.326.409,Escola bressol i llar d'infants,Private
Antoni Balmanya,"Freser, 101-103",934.566.804,Primaria,Public
Antoni Brusi,"Sardenya, 27",932.211.298,Primaria,Public
Auditori,"Almogàvers, 131, 135",937.071.823,Primaria,Public
Bac de Roda,"C.Huelva, 33",933.071.431,Primaria,Public
Bogatell,"Ramon Turró, 70-74",932.250.494,Primaria,Public
Brasil,"Gran Via, 1108",933.086.995,Primaria,Public
Casas,"C.Sant Joan De Malta, 44",933.004.265,Primaria,Public
Catalònia,"Perú, 195",933.076.366,Primaria,Public
Concepció Arenal,"Cristóbal De Moura, 240",933.052.151,Primaria,Public
Dovella,"Mallorca, 593-597",934.569.020,Primaria,Public
Eduard Marquina,"Jaume Huguet, 22",933.053.001,Primaria,Public
Els Horts,"Rbla. Prím, 255",933.133.550,Primaria,Public
Els Porxos,"Pl. Eduard Torroja, 12-20",933.071.232,Primaria,Public
Flor de maig,"Llacuna, 89",933.486.109,Primaria,Public
Fluvià,"Fluvià, 60",933.031.016,Primaria,Public
General Prim,"Bernat Metge, 20-26",933.142.420,Primaria,Public
Joaquim Ruyra,"Llull, 377",933.071.458,Primaria,Public
L’arc de Sant Martí,"Almacelles, 1-11",933.141.776,Primaria,Public
L’arenal de Llevant,"C.Bac De Roda, 33",933.071.337,Primaria,Public
La Caixa,"C.Andrade, 182",933.146.420,Primaria,Public
La Farigola del Clot,"C.Hernán Cortés, 6",932.317.665,Primaria,Public
Llacuna del Poblenou,"Pallars, 216",933 568 863,Primaria,Public
La Mar Bella,"Pl. Sant Bernat Calbó, 2",932.252.838,Primaria,Public
La Palmera,"Concili De Trento, 253",933.137.006,Primaria,Public
La Pau,"Empordà, S/N",933.136.239,Primaria,Public
Les Acàcies,"C. Pujades, 252",933.070.033,Primaria,Public
Miralletes,"Indústria, 255",934.563.281,Primaria,Public
Pere Iv,"Bilbao,103-118",93 303 28 03,Primaria,Public
Poblenou,"Perú, 139",933.072.613,Primaria,Public
Provençals,"Perú, 105",933.086.396,Primaria,Public
Rambleta del Clot,"Aragó, 620",932.454.243,Primaria,Public
Sant Martí,"Sant Joan de Malta, 130",936.240.240,Primaria,Public
Vila Olímpica,"Carmen Amaya, S/N",932.254.998,Primaria,Public
Adela de Trenquelleon,"Rbla. Guipúscoa, 24",93.307.48.50,Primaria,Private
Asunción de Nuestra Señora,"Rbla. Del Poblenou, 94-96",93.300.09.31,Primaria,Private
Calassanç,"Joan De Peguera, 42",93.456.93.03,Primaria,Private
Etp Clot,"València, 680",93.351.60.11,Primaria,Private
Grèvol,"Provençals, 9",93.303.11.03,Primaria,Private
Joan Roca Guipúscoa,"Guipúscoa, 19",93.307.20.66,Primaria,Private
Mare de Déu de Núria,"Mallorca, 598",93.245.66.29,Primaria,Private
Miró,"Cristóbal De Moura, 153-157",93.307.25.06,Primaria,Private
Montseny,"Pallars, 410",93.307.28.57,Primaria,Private
Sagrat Cor,"Lluís Borrassà, 12-18",93.305.22.01,Primaria,Private
San Francisco,"Treball, 213",93.313 26 65,Primaria,Private
Sant Rafael,"Menorca, 80-82",93.313.92.92,Primaria,Private
Sant Gabriel,"Gran Via, 1192-1196",93.314.95.60,Primaria,Private
Santa Maria de los Apóstoles,"Rambla De Prim, 146-152",93.314.90.11,Primaria,Private
Verns,"Cantàbria, 31",93.313.50.51,Primaria,Private
Voramar,"Ramon Turró, 130-138",93.225.13.24,Primaria,Private
Rambla Prim,"Cristobal De Moura, 223",933.079.960,Secundaria,Public
Barri Besós,"Pujades, 397",933.080.102,Secundaria,Public
Bernat Metge,"Menorca, 55",933.149.611,Secundaria,Public
Icària,"Doctor Trueta, 81",932.250.501,Secundaria,Public
Front Marítim,"Espronceda, 18-34",933.037.285,Secundaria,Public
Infanta Isabel D´Aragó,"Concili De Trento, 160",933.073.413,Secundaria,Public
Joan d´Àustria,"Selva De Mar, 211",933.073.402,Secundaria,Public
Maria Espinalt,"Camí Antic de València, 82",936.344.010,Secundaria,Public
Poblenou,"Doctor Trueta, 206",932.253.812,Secundaria,Public
Salvador Espriu,"Pl. De Les Glòries,20",932.449.560,Secundaria,Public
Quatre Cantons,"Cami Antic De València, 37",93 303 76 70,Secundaria,Public
Salvador Seguí,"Santander, 7-9",933.142.041,Secundaria,Public
Moisès Broggi,"Sant Quinti, 32-50",934.368.903,Secundaria,Public
Caterina Albert,"Rogent, 51",934.350.126,Secundaria,Public
El Joncar,"Joncar, 35",938.394.198,Secundaria,Public
Adela De Trenquelleon,"Rbla. Guipúscoa, 24",93.307.48.50,Secundaria,Private
Asunción De Nuestra Señora,"Rbla. Del Poblenou, 94-96",93.300.09.31,Secundaria,Private
Escolàpies del Clot,"Joan De Peguera, 42",93.456.93.03,Secundaria,Private
Jesuïtes del Clot,"València, 680",93.351.60.11,Secundaria,Private
Grèvol,"Provençals, 9",93.303.11.03,Secundaria,Private
Mare De Déu De Núria,"Mallorca, 598",93.245.66.29,Secundaria,Private
Montseny,"Pallars, 410",93.307.28.57,Secundaria,Private
Sagrat Cor,"Lluís Borrassà, 12-18",93.305.22.01,Secundaria,Private
San Francisco,"Treball, 213",93.313 26.65,Secundaria,Private
Sant Gabriel,"Gran Via, 1192-1196",93.314.95.60,Secundaria,Private
Santa Maria De Los Apóstoles,"Rambla De Prim, 146-152",93.314.90.11,Secundaria,Private
Voramar,"Ramon Turró, 130-138",93.225.13.24,Secundaria,Private
CFA Concepció Arenal,"Doctor Trueta, 76-98",932 250 884,Formació d'adults,Public
CFA El Clot,"Bilbao, 214",93 307 52 45,Formació d'adults,Public
CFA La Pau,"Pere Vergés, 1",933 14 70 78,Formació d'adults,Public
CFA La Verneda,"Almacelles, 1",932 78 11 93,Formació d'adults,Public
CFA Montserrat Roig,"Rambla del Poblenou, 130",932 50 55 80,Formació d'adults,Public
CETUC,"Almogàvers, 68",933 00 98 79,Formació d'adults,Public
Agrupament Escolta Terra Nova,"Carrer de Provença, 591-593 (Foment Marinenc)",,Educació en el lleure,
Esplai SCV El Clot,"Carrer del Clot, 72",,Educació en el lleure,
Associació de Lleure Xino-Xano,"Carrer de Bilbao, 220",,Educació en el lleure,
Centre d’Esplai Joan Suñol,"Carrer de València, 680",,Educació en el lleure,