Name,Adress,,Number,Topic,Description and information
Contenidor Roba Amiga * Punt Verd de Barri del Clot,C Escultors Claperós 34 (Sant Martí),"41.405370, 2.194816",,Waste management,
Espai per a gossos deslligats al Parc del Clot - Parc del Clot,Espai per a gossos deslligats al Parc del Clot (),"41.405156, 2.195628",,Dogs/Animas,
Espai per a gossos deslligats al carrer d'Aragó amb carrer de Lope de Vega,Espai per a gossos deslligats al carrer d'Aragó amb carrer de Lope de Vega (),"41.409678, 2.184070",,Dogs/Animas,
Espai per a gossos deslligats als Jardins del Clot de la Mel - Jardins del Clot de la Mel,Espai per a gossos deslligats als Jardins del Clot de la Mel (),"41.416545, 2.194092",,Dogs/Animas,
Mercat del Clot,Pl Mercat 26 (Sant Martí),"41.404146, 2.187830",934132306,General public,
Ludoteca El Xalet del Clot,Ptge Carmen de Burgos 3 (Sant Martí),"41.411646, 2.196449",933078684,Kids,
Oficina d'Atenció Ciutadana de Sant Martí,Plaça de Valentí Almirall 1 (Sant Martí),"41.404962, 2.191248",,General public,
Punt BCN. Quiosc de Tràmits i Serveis - Oficina d'Atenció Ciutadana de Sant Martí,Pl Valentí Almirall 1 (Sant Martí),"41.404962, 2.191248",,General public,
Punt Verd de Barri - Clot,C Escultors Claperós 51 (Sant Martí),"41.405024, 2.195429",,Waste management,
Punt d'Assessorament Energètic - Centre Cultural La Farinera del Clot,Gran Via de les Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",930008054,General public,
Servei Especialitzat d'Atenció a la Infància i Adolescència (SEAIA) *Sant Martí,C Corunya 5*7 (Sant Martí),"41.407317, 2.197305",93 256 59 20,Kids,
Servei d'Orientació i Acompanyament per a Persones Immigrades *Sant Martí,Pl Valentí Almirall 1 (Sant Martí),"41.404962, 2.191248",648191666,General public,
Seu del Districte de Sant Martí,Plaça de Valentí Almirall 1 (Sant Martí),"41.404962, 2.191248",934027000,General public,
Àrea per a Gossos - Jardí de Joana Tomàs,C València 643 (Sant Martí),"41.406426, 2.186685",,Dogs/Animas,
Àrea d'Esbarjo per a Gossos - Parc de les Glòries,Plaça de les Glòries Catalanes 0 (Sant Martí),"41.4036° N, 2.1891° E",,Dogs/Animas,
Àrea d'Esbarjo per a Gossos - Parc del Clot,Carrer dels Escultors Claperós 55 - 63 (Sant Martí),"41.405156, 2.195628",,Dogs/Animas,